file_id,EDU_text,EDU_char_offsets,EDU_token_offsets,A0,A2,A3,A4,B1,B2,B3,Binary_a0_score,Binary_b1_score,Binary_Conflict_score,Three_Conflict_labels,Direct_NegEval,Indirect_NegEval,Challenge,Correction
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,We have repeatedly issued warnings,0-34,0-4,Direct_NegEval,Country,-NONE-,ukraine,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,about the danger of trying to resolve the political crisis in Ukraine by force .,37-117,5-19,Direct_NegEval,Country,-NONE-,ukraine,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,We called,120-129,20-21,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"for a mutually respectful and inclusive dialogue among all major political forces , Kyiv and the regions .",132-238,22-39,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"However , the Kyiv authorities have chosen the wrong the path at every turn , with the support of its Western colleagues .",241-363,40-62,Direct_NegEval,Country,-NONE-,ukraine,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"I am talking about the United States , of course ,",366-416,63-73,Direct_NegEval,Country,-NONE-,united_states_of_america,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,which pushed Kyiv to escalate the crisis .,419-461,74-81,Direct_NegEval,Country,-NONE-,united_states_of_america,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,They are trying to lay the blame on Russia for the catastrophe caused by the course chosen .,464-556,82-99,Direct_NegEval,Country,-NONE-,united_states_of_america,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,Kyiv cast aside the agreement of 21 February and the road map proposed by the Chair of the Organization for Security and Cooperation in Europe ( OSCE ) .,560-713,100-128,Direct_NegEval,Country,-NONE-,ukraine,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"The Geneva statement of 17 April and the Berlin declaration of 2 July were also dismissed ,",716-807,129-145,Direct_NegEval,Country,-NONE-,ukraine,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,although representatives from the Kyiv Government took part in drafting them .,810-888,146-157,Direct_NegEval,Country,-NONE-,ukraine,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,The widely acclaimed peace plan of President Poroshenko became the pretext for military preparations and the deployment of a large - scale punitive operation .,891-1050,158-182,Indirect_NegEval,Country,Law_Policy,ukraine,_,_,_,1,0,1,a0_NE,0,1,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,The Kyiv authorities have chosen to suppress dissent .,1054-1108,183-191,Direct_NegEval,Country,-NONE-,ukraine,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"Immediately after the February uprising ,",1111-1152,192-197,Direct_NegEval,Country,-NONE-,ukraine,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"Kyiv began to call dissenters "" bandits "" and "" terrorists "" , and then "" subhumans "" and "" insects "" .",1155-1258,198-220,Direct_NegEval,Country,-NONE-,ukraine,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"Was it fortuitous that on Channel 5 ,",1261-1298,221-228,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"the Ukrainian television channel owned by Mr. Poroshenko ,",1301-1359,229-237,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,a commercial was aired showing the stamping out of insects with a map of eastern Ukraine in the background ?,1362-1470,238-257,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,Protesters have been massacred in Mariupol and Odesa .,1473-1527,258-266,Direct_NegEval,Underspecified,-NONE-,-NONE-,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,The number of victims continues to rise,1530-1569,267-273,Direct_NegEval,Underspecified,-NONE-,-NONE-,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,and no genuine investigation has been carried out .,1572-1623,274-282,Direct_NegEval,Underspecified,-NONE-,-NONE-,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,Dozens of people who politically opposed Kyiv have disappeared .,1626-1690,283-292,Direct_NegEval,Country,-NONE-,ukraine,_,_,_,1,0,1,a0_NE,1,0,0,0
UNSC_2014_SPV.7165_spch004_United_Kingdom_Of_Great_Britain_And_Northern_Ireland_02.txt,"As a result of Russia 's activities ,",0-37,0-7,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
UNSC_2014_SPV.7165_spch004_United_Kingdom_Of_Great_Britain_And_Northern_Ireland_02.txt,"there has been a further marked deterioration in the security situation in eastern and southern Ukraine ,",41-146,8-24,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
UNSC_2014_SPV.7165_spch004_United_Kingdom_Of_Great_Britain_And_Northern_Ireland_02.txt,as Mr. Feltman has just said .,150-180,25-31,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
UNSC_2014_SPV.7165_spch004_United_Kingdom_Of_Great_Britain_And_Northern_Ireland_02.txt,The United Kingdom condemns,184-211,32-35,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
UNSC_2014_SPV.7165_spch004_United_Kingdom_Of_Great_Britain_And_Northern_Ireland_02.txt,the abduction at gunpoint and public parading of an OSCE Vienna Document inspection team and its Ukrainian escorts .,215-331,36-54,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
UNSC_2014_SPV.7165_spch004_United_Kingdom_Of_Great_Britain_And_Northern_Ireland_02.txt,"We call upon those responsible to ensure the safe treatment and immediate release of the team ,",335-430,55-71,_,_,_,_,_,_,_,0,0,0,_,0,0,0,0
