file_id,sentence_text,A0,B1,NE_score_binary,C_score_binary,ALL_score_binary,lexicoder_words_polarity,lexicoder_score,lexicoder_score_binary
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,We have repeatedly issued warnings  about the danger of trying to resolve the political crisis in Ukraine by force .  ,Direct_NegEval,_,1,0,1,"[('crisi', 'negative'), ('danger', 'negative'), ('warn', 'negative'), ('resolv', 'positive')]",-0.10526315789473684,1
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"We called  for a mutually respectful and inclusive dialogue among all major political forces , Kyiv and the regions .  ",_,_,0,0,0,"[('respectful', 'positive')]",0.05555555555555555,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"However , the Kyiv authorities have chosen the wrong the path at every turn , with the support of its Western colleagues .  ",Direct_NegEval,_,1,0,1,"[('wrong', 'negative'), ('colleagu', 'positive'), ('support', 'positive')]",0.05,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"I am talking about the United States , of course ,  which pushed Kyiv to escalate the crisis .  ",Direct_NegEval,_,1,0,1,"[('crisi', 'negative')]",-0.0625,1
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,They are trying to lay the blame on Russia for the catastrophe caused by the course chosen .  ,Direct_NegEval,_,1,0,1,"[('blame', 'negative'), ('catastroph', 'negative')]",-0.11764705882352941,1
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,Kyiv cast aside the agreement of 21 February and the road map proposed by the Chair of the Organization for Security and Cooperation in Europe ( OSCE ) .  ,Direct_NegEval,_,1,0,1,"[('agree', 'positive'), ('cooperat', 'positive')]",0.07692307692307693,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"The Geneva statement of 17 April and the Berlin declaration of 2 July were also dismissed ,  although representatives from the Kyiv Government took part in drafting them .  ",Direct_NegEval,_,1,0,1,"[('dismiss', 'negative')]",-0.037037037037037035,1
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,The widely acclaimed peace plan of President Poroshenko became the pretext for military preparations and the deployment of a large - scale punitive operation .  ,Indirect_NegEval,_,1,0,1,"[('pretext', 'negative'), ('punitive', 'negative'), ('acclaim', 'positive'), ('peace', 'positive')]",0.0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,The Kyiv authorities have chosen to suppress dissent .  ,Direct_NegEval,_,1,0,1,"[('dissent', 'negative'), ('suppress', 'negative')]",-0.25,1
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"Immediately after the February uprising ,  Kyiv began to call dissenters "" bandits "" and "" terrorists "" , and then "" subhumans "" and "" insects "" .  ",Direct_NegEval,_,1,0,1,"[('bandit', 'negative'), ('dissent', 'negative'), ('terror', 'negative'), ('uprising', 'negative')]",-0.2222222222222222,1
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,"Was it fortuitous that on Channel 5 ,  the Ukrainian television channel owned by Mr. Poroshenko ,  a commercial was aired showing the stamping out of insects with a map of eastern Ukraine in the background ?  ",_,_,0,0,0,[],0.0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,Protesters have been massacred in Mariupol and Odesa .  ,Direct_NegEval,_,1,0,1,"[('massacr', 'negative'), ('protest', 'negative')]",-0.25,1
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,The number of victims continues to rise  and no genuine investigation has been carried out .  ,Direct_NegEval,_,1,0,1,"[('victim', 'negative'), ('genuin', 'positive')]",0.0,0
UNSC_2014_SPV.7219_spch015_Russian_Federation_neg_03.txt,Dozens of people who politically opposed Kyiv have disappeared .,Direct_NegEval,_,1,0,1,"[('oppose', 'negative'), ('opposed', 'negative')]",-0.2222222222222222,1
UNSC_2014_SPV.7165_spch004_United_Kingdom_Of_Great_Britain_And_Northern_Ireland_02.txt,"As a result of Russia 's activities ,   there has been a further marked deterioration in the security situation in eastern and southern Ukraine ,   as Mr. Feltman has just said .   ",_,_,0,0,0,"[('deteriorat', 'negative')]",-0.034482758620689655,1
UNSC_2014_SPV.7165_spch004_United_Kingdom_Of_Great_Britain_And_Northern_Ireland_02.txt,The United Kingdom condemns   the abduction at gunpoint and public parading of an OSCE Vienna Document inspection team and its Ukrainian escorts .   ,_,_,0,0,0,"[('condemn', 'negative')]",-0.045454545454545456,1
UNSC_2014_SPV.7165_spch004_United_Kingdom_Of_Great_Britain_And_Northern_Ireland_02.txt,"We call upon those responsible to ensure the safe treatment and immediate release of the team ,   and we urge Russia ,   itselfan OSCE member ,   to use its influence   to ensure that this happens without further delay .   ",_,_,0,0,0,"[('delay', 'negative'), ('ensur', 'positive'), ('ensur', 'positive'), ('responsib', 'positive'), ('safe', 'positive')]",0.08571428571428572,0
UNSC_2014_SPV.7165_spch004_United_Kingdom_Of_Great_Britain_And_Northern_Ireland_02.txt,"On 17 April , talks between Ukraine , Russia , the United States and the European Union succeeded in agreeing steps to reduce tensions .   ",_,_,0,0,0,"[('tension', 'negative'), ('agree', 'positive'), ('succeed', 'positive')]",0.047619047619047616,0
